Unnamed: 0,ecalP,muNraC,maeT,det st suojdCA,erocS)0e3(cirP,ycaruc c A) 5 1(tsoC,g)5n1ir e(segnnigiwnaErD,o)0ir n4a (ee c Sr o cS,ytlaneP,erocS
1,79,42,Univ of Oklahoma,"$25,153",8.3,11.0,10.0,23.0,,52.3
2,80,131,Univ of Ottawa,"$14,225",23.3,11.0,7.0,10.5,,51.77
3,81,21,Oklahoma State Univ,"$16,528",20.1,9.0,5.0,17.0,,51.12
4,82,26,Univ of Wisconsin - Platteville,"$16,173",20.6,12.0,7.0,10.5,,50.1
5,83,73,Univ of Puerto Rico-Mayaquez,"$17,699",18.5,13.5,15.0,3.0,,50.01
6,84,34,Colorado Mesa University,"$18,083",18.0,9.0,,23.0,,49.99
7,85,68,AGH Univ of Science and Technology,"$25,269",8.1,10.0,4.0,27.0,,49.14
8,86,108,Lawrence Technological Univ,"$28,233",4.1,10.0,8.0,26.0,,48.08
9,87,116,Saginaw Valley State Univ,"$17,437",18.9,4.0,1.0,24.0,,47.87
10,88,29,Univ of Texas - Austin,"$21,840",12.8,12.0,14.0,28.5,-20.0,47.34
11,89,62,Washington State Univ,"$18,427",17.5,6.0,,23.0,,46.52
12,90,113,US Air Force Academy,"$17,261",19.1,8.0,,18.0,,45.11
13,91,95,Univ of Toledo,"$18,361",17.6,11.0,,16.0,,44.61
14,92,92,Clarkson University,"$30,133",1.5,12.0,6.0,24.0,,43.48
15,93,46,York College of Pennsylvania,"$24,193",9.6,14.0,7.0,12.0,,42.62
16,94,103,Penn State Univ - Harrisburg,"$24,772",8.8,8.0,3.0,22.0,,41.82
17,95,122,South Dakota School of Mines & Tech,"$19,472",16.1,10.0,10.0,14.5,-10.0,40.58
18,96,32,Colorado School of Mines,"$20,676",14.4,12.0,8.0,5.0,,39.44
19,97,17,Florida Atlantic Univ,"$17,201",19.2,8.0,8.0,4.0,,39.2
20,98,93,South Dakota State Univ,"$16,565",20.1,8.0,6.0,5.0,,39.07
21,99,80,California State Univ - Fullerton,"$20,341",14.9,8.0,,16.0,,38.89
22,100,89,Southern Illinois Univ - Carbondale,"$24,836",8.7,6.0,10.0,9.0,,33.74
23,101,125,Northern Arizona Univ,"$19,093",16.6,6.0,,28.0,-20.0,30.6
24,102,138,Universidad Autonoma de Baja California,"$15,057",22.1,4.0,2.0,1.0,,29.13
25,103,58,Syracuse Univ,"$31,214",,6.0,,12.0,,18.0
26,104,128,St Cloud State Univ,"$22,243",12.3,11.0,,6.0,-20.0,9.29
